env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb,significant_hb_seed_level
Tiger,Observations,Planning+IG,EpistemicOnly,5.6568,"[5.592, 5.723]",0.0,"[0.000, 0.000]",5.6568,3.376686670653856,168.8343335326928,0.0,5,1.2476949159944249e-08,93.64998180594887,True,True
Tiger,Observations,Planning+IG,EFE,5.6568,"[5.592, 5.723]",4.198,"[4.144, 4.253]",1.4587999999999992,0.6723761373543768,33.61880686771884,7.604412083485012e-235,5,7.373549030900237e-09,19.95437598203063,True,True
Tiger,Observations,Planning+IG,Thompson,5.6568,"[5.592, 5.723]",2.6448,"[2.609, 2.682]",3.0119999999999996,1.574493282699847,78.72466413499235,0.0,5,2.9689253560169843e-10,43.57809644565347,True,True
Tiger,Observations,Planning+IG,PyMDP-AIF,5.6568,"[5.592, 5.723]",2.6448,"[2.609, 2.682]",3.0119999999999996,1.574493282699847,78.72466413499235,0.0,5,2.9689253560169843e-10,43.57809644565347,True,True
Tiger,Observations,EpistemicOnly,EFE,0.0,"[0.000, 0.000]",4.198,"[4.144, 4.253]",-4.198,-3.044925828586407,-152.24629142932037,0.0,5,8.88877159055858e-09,-101.93645125439454,True,True
Tiger,Observations,EpistemicOnly,Thompson,0.0,"[0.000, 0.000]",2.6448,"[2.609, 2.682]",-2.6448,-2.863493156235538,-143.17465781177688,0.0,5,2.4980041005649947e-08,-78.72683882587417,True,True
Tiger,Observations,EpistemicOnly,PyMDP-AIF,0.0,"[0.000, 0.000]",2.6448,"[2.609, 2.682]",-2.6448,-2.863493156235538,-143.17465781177688,0.0,5,2.4980041005649947e-08,-78.72683882587417,True,True
Tiger,Observations,EFE,Thompson,4.198,"[4.144, 4.253]",2.6448,"[2.609, 2.682]",1.5532000000000004,0.9359573059765197,46.79786529882598,0.0,5,1.1079391342458965e-10,29.22462212850884,True,True
Tiger,Observations,EFE,PyMDP-AIF,4.198,"[4.144, 4.253]",2.6448,"[2.609, 2.682]",1.5532000000000004,0.9359573059765197,46.79786529882598,0.0,5,1.1079391342458965e-10,29.22462212850884,True,True
Tiger,Observations,Thompson,PyMDP-AIF,2.6448,"[2.609, 2.682]",2.6448,"[2.609, 2.682]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
