instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[7,4]",Bad,Rollout only (approach),POMCP (1024 sims),0.098,0.056,0.042,0.1515706622872255,2.396542596439096,0.0167459567096727,5,0.0120209425214052,2.4248711305964283,False,False
"RS[7,4]",Bad,Rollout only (approach),POMCP (4096 sims),0.098,0.024,0.074,0.3020280860789343,4.775483346754131,2.1681695359410947e-06,5,9.008392692872788e-07,8.544783984006461,True,True
"RS[7,4]",Bad,Rollout only (approach),POMCP (16384 sims),0.098,0.018,0.08,0.3346422159886432,5.291158018850641,1.644100215988678e-07,5,2.1285553023429633e-06,8.207826816681232,True,True
"RS[7,4]",Bad,POMCP (256 sims),POMCP (1024 sims),0.074,0.056,0.0179999999999999,0.0718165909732429,1.1355200063206816,0.2564324826009438,5,0.2811115669085589,0.7318040653635676,False,False
"RS[7,4]",Bad,POMCP (256 sims),POMCP (4096 sims),0.074,0.024,0.0499999999999999,0.2329588046677052,3.683402118701066,0.000245533852686,5,0.0100678880702278,2.564945880212885,True,False
"RS[7,4]",Bad,POMCP (256 sims),POMCP (16384 sims),0.074,0.018,0.0559999999999999,0.2694726309663138,4.260736404657861,2.3004870958873377e-05,5,0.0057858709427272,2.8,True,True
"RS[7,4]",Bad,POMCP (1024 sims),POMCP (4096 sims),0.056,0.024,0.032,0.159552982562906,2.522754161859564,0.0118253406786606,5,0.0325184671052336,1.832314669804378,False,False
"RS[7,4]",Bad,POMCP (1024 sims),POMCP (16384 sims),0.056,0.018,0.038,0.1966387799152758,3.109132104244217,0.0019443976092852,5,0.016904686898811,2.10786074565587,True,False
"RS[7,4]",Bad,POMCP (4096 sims),POMCP (16384 sims),0.024,0.018,0.006,0.0418129306301676,0.6611204821897467,0.5086906231769346,5,0.3716284302826276,0.5999999999999999,False,False
"RS[7,8]",Reward,Rollout only (approach),POMCP (256 sims),28.329,-3.783,32.112,2.164249783039932,34.219793699657195,5.360183396283309e-170,5,2.468147187412499e-09,18.991606426137196,True,True
"RS[7,8]",Reward,Rollout only (approach),POMCP (1024 sims),28.329,13.535,14.794,1.1922362460571998,18.850910232748472,3.130644620740728e-67,5,5.718555773190627e-06,10.420176862799762,True,True
"RS[7,8]",Reward,Rollout only (approach),POMCP (4096 sims),28.329,15.969,12.36,1.0631349421674816,16.809639386803145,1.2644209227376727e-54,5,1.56287959693737e-05,8.714268278689683,True,True
"RS[7,8]",Reward,POMCP (256 sims),POMCP (1024 sims),-3.783,13.535,-17.318,-1.313169739742173,-20.763036659978997,4.0593326349018814e-78,5,4.272963427345578e-07,-13.930597010217587,True,True
"RS[7,8]",Reward,POMCP (256 sims),POMCP (4096 sims),-3.783,15.969,-19.752,-1.5859474768761392,-25.07603138162911,7.795194654215208e-102,5,1.974807599387445e-07,-15.90870799170488,True,True
"RS[7,8]",Reward,POMCP (1024 sims),POMCP (4096 sims),13.535,15.969,-2.4339999999999993,-0.2580980746193458,-4.080888877506144,4.861091452190921e-05,5,0.0017426539024973,-2.9128766826018415,True,True
"RS[7,8]",Bad,Rollout only (approach),POMCP (256 sims),0.194,0.112,0.082,0.2144552064415127,3.3908345421839683,0.0007260341557244,5,0.0366345788153913,1.728711787558714,True,False
"RS[7,8]",Bad,Rollout only (approach),POMCP (1024 sims),0.194,0.11,0.084,0.2233735820626658,3.531846442142782,0.000433339780188,5,0.0336976445692825,1.7650019229676408,True,False
"RS[7,8]",Bad,Rollout only (approach),POMCP (4096 sims),0.194,0.058,0.136,0.3930250452483514,6.214271602377641,8.435593627216632e-10,5,0.0045951899965294,2.835796031176218,True,True
"RS[7,8]",Bad,POMCP (256 sims),POMCP (1024 sims),0.112,0.11,0.002,0.0062352886913731,0.0985885706671488,0.9214847855106276,5,0.9129181920483104,0.071383061024825,False,False
