env,w,usage,usage_se,reward,reward_se,per_seed_usage,per_seed_reward,seed_list,episodes_per_seed,git_sha,generated_utc
Tiger,1.6378937069540647,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,3.7275937203149416,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,8.483428982440726,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,19.306977288832496,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,43.93970560760795,5.772,0.0966643677887566,4.228,0.0966643677887566,6.1200|5.8000|5.7200|5.5400|5.6800,3.8800|4.2000|4.2800|4.4600|4.3200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,100.0,5.772,0.0966643677887566,4.228,0.0966643677887566,6.1200|5.8000|5.7200|5.5400|5.6800,3.8800|4.2000|4.2800|4.4600|4.3200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.0,5.904,0.07440430095095302,-3.224,1.163140576198767,5.7800|5.9400|5.8200|6.1800|5.8000,-7.1800|-1.9400|-4.2200|-0.3800|-2.4000,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.001,5.904,0.07440430095095302,-3.224,1.163140576198767,5.7800|5.9400|5.8200|6.1800|5.8000,-7.1800|-1.9400|-4.2200|-0.3800|-2.4000,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.0022758459260747888,5.904,0.07440430095095302,-3.224,1.163140576198767,5.7800|5.9400|5.8200|6.1800|5.8000,-7.1800|-1.9400|-4.2200|-0.3800|-2.4000,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.005179474679231213,5.904,0.07440430095095302,-3.224,1.163140576198767,5.7800|5.9400|5.8200|6.1800|5.8000,-7.1800|-1.9400|-4.2200|-0.3800|-2.4000,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.011787686347935873,5.904,0.07440430095095302,-3.224,1.163140576198767,5.7800|5.9400|5.8200|6.1800|5.8000,-7.1800|-1.9400|-4.2200|-0.3800|-2.4000,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.02682695795279726,5.904,0.07440430095095302,-3.224,1.163140576198767,5.7800|5.9400|5.8200|6.1800|5.8000,-7.1800|-1.9400|-4.2200|-0.3800|-2.4000,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.0610540229658533,5.904,0.07440430095095302,-3.224,1.163140576198767,5.7800|5.9400|5.8200|6.1800|5.8000,-7.1800|-1.9400|-4.2200|-0.3800|-2.4000,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.13894954943731375,5.904,0.07440430095095302,-3.224,1.163140576198767,5.7800|5.9400|5.8200|6.1800|5.8000,-7.1800|-1.9400|-4.2200|-0.3800|-2.4000,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.31622776601683794,9.772,0.14008568806269966,-1.4520000000000004,0.7493623956404538,9.4400|10.2800|9.6200|9.7800|9.7400,-4.2400|-1.4800|-0.8200|0.2200|-0.9400,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,0.7196856730011522,9.772,0.14008568806269966,-1.4520000000000004,0.7493623956404538,9.4400|10.2800|9.6200|9.7800|9.7400,-4.2400|-1.4800|-0.8200|0.2200|-0.9400,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,1.6378937069540647,9.772,0.14008568806269966,-1.4520000000000004,0.7493623956404538,9.4400|10.2800|9.6200|9.7800|9.7400,-4.2400|-1.4800|-0.8200|0.2200|-0.9400,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,3.7275937203149416,9.772,0.14008568806269966,-1.4520000000000004,0.7493623956404538,9.4400|10.2800|9.6200|9.7800|9.7400,-4.2400|-1.4800|-0.8200|0.2200|-0.9400,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,8.483428982440726,9.772,0.14008568806269966,-1.4520000000000004,0.7493623956404538,9.4400|10.2800|9.6200|9.7800|9.7400,-4.2400|-1.4800|-0.8200|0.2200|-0.9400,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,19.306977288832496,9.772,0.14008568806269966,-1.4520000000000004,0.7493623956404538,9.4400|10.2800|9.6200|9.7800|9.7400,-4.2400|-1.4800|-0.8200|0.2200|-0.9400,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,43.93970560760795,13.163999999999998,0.09173875952943769,-3.6439999999999997,0.3636701802457826,13.2200|13.4200|12.9000|13.2600|13.0200,-4.4200|-4.6200|-2.9000|-3.2600|-3.0200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,100.0,13.163999999999998,0.09173875952943769,-3.6439999999999997,0.3636701802457826,13.2200|13.4200|12.9000|13.2600|13.0200,-4.4200|-4.6200|-2.9000|-3.2600|-3.0200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.0,3.232,0.07598684096605147,5.558,0.1821716223784594,3.3000|3.1500|3.1100|3.5000|3.1000,5.0200|5.4550|5.3850|6.0000|5.9300,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.001,3.232,0.07598684096605147,5.558,0.1821716223784594,3.3000|3.1500|3.1100|3.5000|3.1000,5.0200|5.4550|5.3850|6.0000|5.9300,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.0022758459260747888,3.232,0.07598684096605147,5.558,0.1821716223784594,3.3000|3.1500|3.1100|3.5000|3.1000,5.0200|5.4550|5.3850|6.0000|5.9300,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.005179474679231213,3.232,0.07598684096605147,5.558,0.1821716223784594,3.3000|3.1500|3.1100|3.5000|3.1000,5.0200|5.4550|5.3850|6.0000|5.9300,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.011787686347935873,3.232,0.07598684096605147,5.558,0.1821716223784594,3.3000|3.1500|3.1100|3.5000|3.1000,5.0200|5.4550|5.3850|6.0000|5.9300,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.02682695795279726,3.232,0.07598684096605147,5.558,0.1821716223784594,3.3000|3.1500|3.1100|3.5000|3.1000,5.0200|5.4550|5.3850|6.0000|5.9300,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.0610540229658533,3.232,0.07598684096605147,5.558,0.1821716223784594,3.3000|3.1500|3.1100|3.5000|3.1000,5.0200|5.4550|5.3850|6.0000|5.9300,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.13894954943731375,6.192,0.16785112451216996,5.644,0.12140222403234628,6.8000|5.9700|5.8200|6.1300|6.2400,5.2500|5.4850|5.7400|5.8550|5.8900,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.31622776601683794,6.192,0.16785112451216996,5.644,0.12140222403234628,6.8000|5.9700|5.8200|6.1300|6.2400,5.2500|5.4850|5.7400|5.8550|5.8900,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,0.7196856730011522,5.108,0.11114854924829207,6.203999999999999,0.16952433453637272,5.5000|4.9700|4.8400|5.1500|5.0800,5.6300|6.1650|6.1400|6.6150|6.4700,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,1.6378937069540647,5.108,0.11114854924829207,6.203999999999999,0.16952433453637272,5.5000|4.9700|4.8400|5.1500|5.0800,5.6300|6.1650|6.1400|6.6150|6.4700,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,3.7275937203149416,7.318,0.16066735822811057,5.891,0.12945462525533796,7.8300|7.2100|6.8400|7.4300|7.2800,5.4550|5.8550|6.1300|5.8350|6.1800,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,8.483428982440726,8.924000000000001,0.17574413219223012,5.43,0.09660486530190918,9.4600|9.1000|8.4400|8.6700|8.9500,5.0900|5.4500|5.6900|5.4850|5.4350,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,19.306977288832496,9.856,0.13515176654413347,5.036,0.07133372274037007,10.2600|9.9300|9.4600|9.6800|9.9500,4.7800|5.0350|5.1800|5.1600|5.0250,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,43.93970560760795,11.068000000000001,0.10547037498748181,4.448,0.06476109943476877,11.3100|11.1300|10.6900|11.0200|11.1900,4.2550|4.4350|4.6550|4.4900|4.4050,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Bandit,100.0,12.343999999999998,0.144934467950174,3.81,0.07484984969924796,12.3500|12.6000|11.7900|12.4400|12.5400,3.7350|3.7000|4.1050|3.7800|3.7300,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
