env,family,metric,label_a,label_b,mean_a,mean_b,diff,t_stat,p_seed_level,n_seeds,significant_hb_seed_level
Tileworld-6x6,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=60 uniform,0.11300000000000002,0.035,0.07800000000000001,6.390008980048518,0.0006601295951691158,5,True
Tileworld-6x6,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=60 uniform,-46.546,-47.99900000000001,1.45300000000001,2.0717500429135187,0.08069825506896787,5,False
Tileworld-6x6,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=5 info-gain,0.9540000000000001,0.191,0.7630000000000001,32.257038497332786,1.6642821815914392e-06,5,True
Tileworld-6x6,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=5 info-gain,-25.019,-44.364999999999995,19.345999999999997,14.767902357958569,7.573764004587024e-05,5,True
Tileworld-6x6,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=5 info-gain,0.11300000000000002,0.191,-0.07799999999999999,-3.0772163882946386,0.023284402193328564,5,False
Tileworld-6x6,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=5 info-gain,-46.546,-44.364999999999995,-2.1810000000000045,-1.5335582912556445,0.17861931761398805,5,False
Tileworld-6x6,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),POMCP c=60 info-gain,0.9540000000000001,0.062,0.8920000000000001,85.04886296070691,9.830530011597905e-12,5,True
Tileworld-6x6,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),POMCP c=60 info-gain,-25.019,-47.247,22.228,43.36974656381204,5.4127684332734775e-09,5,True
Tileworld-6x6,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=60 info-gain,0.11300000000000002,0.062,0.05100000000000002,3.6710603288183434,0.006777112212037532,5,False
Tileworld-6x6,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=60 info-gain,-46.546,-47.247,0.7010000000000005,0.9291698513410259,0.38226047493104776,5,False
Tileworld-6x6,vs MCTS-EFE default,success,MCTS-EFE c=60 (default),MCTS-EFE c=5,0.9540000000000001,0.9490000000000001,0.0050000000000000044,0.5521576303742346,0.5964166390405985,5,False
Tileworld-6x6,vs MCTS-EFE default,reward,MCTS-EFE c=60 (default),MCTS-EFE c=5,-25.019,-22.26,-2.758999999999997,-5.270620636983444,0.0017408887649844492,5,True
