env,budget_kind,budget,curve_monotone,reference_envelope_at_B,reference_envelope_support,frontier_interp_at_B,policy,w_lo,w_hi,q,w,heldout_usage,heldout_usage_se,heldout_reward,heldout_reward_se,usage_error,feasible_in_expectation,gap_to_reference,gap_to_frontier_interp,note,per_seed_usage,per_seed_reward,seed_list,episodes_per_seed,git_sha,generated_utc
Tiger,gap,5.07,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,endpoint_hi,19.306977288832496,43.93970560760795,,43.93970560760795,5.752000000000001,0.11324310133513656,4.248,0.11324310133513656,0.6820000000000004,False,-0.7679999999999998,,,6.0000|5.6000|6.0000|5.4200|5.7400,4.0000|4.4000|4.0000|4.5800|4.2600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,gap,5.07,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,best_feasible_member,19.306977288832496,43.93970560760795,,0.0,4.316,0.08182909018191518,5.684,0.08182909018191518,0.7540000000000004,True,0.6680000000000001,,,4.4200|4.1600|4.5400|4.1000|4.3600,5.5800|5.8400|5.4600|5.9000|5.6400,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,gap,5.07,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,best_target_mixture,0.0,43.93970560760795,0.5000000000000001,,5.038,0.13994284547628713,4.962,0.13994284547628713,0.03200000000000003,True,-0.05400000000000027,,"support w=0,43.94 q_b=0.5000 cal_reward=4.8200 cal_usage=5.0700",5.2000|4.7000|5.4200|4.7300|5.1400,4.8000|5.3000|4.5800|5.2700|4.8600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,gap,5.07,True,5.016,lam=0:U=4.324:R=5.016:q=1.0000,,best_feasible_mixture,19.306977288832496,43.93970560760795,,0.0,4.316,0.08182909018191518,5.684,0.08182909018191518,0.7540000000000004,True,0.6680000000000001,,"support w=0,0 q_b=0.0000 cal_reward=5.4120 cal_usage=4.3680",4.4200|4.1600|4.5400|4.1000|4.3600,5.5800|5.8400|5.4600|5.9000|5.6400,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Tiger,unattainable,2.184,True,0.8544754316069074,lam=1.046:U=2.673:R=4.247:q=0.7076|lam=10.23:U=1.000:R=-7.353:q=0.2924,0.8544754316069076,declared_unattainable,,,,,,,,,,,,,"B below U_min=4.368, not evaluated",,,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.25,7.718999999999999,True,-1.9952179042331712,lam=0.05:U=9.785:R=-1.265:q=0.4623|lam=1.046:U=5.943:R=-2.623:q=0.5377,-2.083693732193732,mixture,0.13894954943731375,0.31622776601683794,0.4692347466390898,,7.696000000000001,0.25309286833097455,-2.136,0.4772169318035561,0.0229999999999988,True,-0.14078209576682887,-0.052306267806268014,,7.6800|7.1200|8.5800|7.3000|7.8000,-3.0800|-1.9200|-3.3800|-0.9000|-1.4000,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.25,7.718999999999999,True,-1.9952179042331712,lam=0.05:U=9.785:R=-1.265:q=0.4623|lam=1.046:U=5.943:R=-2.623:q=0.5377,-2.083693732193732,endpoint_lo,0.13894954943731375,0.31622776601683794,,0.13894954943731375,5.9,0.15231546211727823,-2.8600000000000003,0.4275511665286389,1.818999999999999,True,-0.8647820957668291,-0.7763062678062682,,6.0000|5.6400|6.4200|5.5600|5.8800,-3.8000|-2.2400|-3.0200|-1.5600|-3.6800,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.25,7.718999999999999,True,-1.9952179042331712,lam=0.05:U=9.785:R=-1.265:q=0.4623|lam=1.046:U=5.943:R=-2.623:q=0.5377,-2.083693732193732,endpoint_hi,0.13894954943731375,0.31622776601683794,,0.31622776601683794,9.696000000000002,0.20624257562394824,-2.216,0.6837952910045519,1.977000000000002,False,-0.22078209576682895,-0.13230626780626809,,9.9200|9.4000|10.3800|9.2200|9.5600,-1.7200|-1.8000|-4.5800|-0.4200|-2.5600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.25,7.718999999999999,True,-1.9952179042331712,lam=0.05:U=9.785:R=-1.265:q=0.4623|lam=1.046:U=5.943:R=-2.623:q=0.5377,-2.083693732193732,best_feasible_member,0.13894954943731375,0.31622776601683794,,0.0,5.9,0.15231546211727823,-2.8600000000000003,0.4275511665286389,1.818999999999999,True,-0.8647820957668291,-0.7763062678062682,,6.0000|5.6400|6.4200|5.5600|5.8800,-3.8000|-2.2400|-3.0200|-1.5600|-3.6800,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.25,7.718999999999999,True,-1.9952179042331712,lam=0.05:U=9.785:R=-1.265:q=0.4623|lam=1.046:U=5.943:R=-2.623:q=0.5377,-2.083693732193732,best_target_mixture,0.0,0.31622776601683794,0.4692347466390899,,7.696000000000001,0.25309286833097455,-2.136,0.4772169318035561,0.0229999999999988,True,-0.14078209576682887,-0.052306267806268014,"support w=0,0.3162 q_b=0.4692 cal_reward=-2.3925 cal_usage=7.7190",7.6800|7.1200|8.5800|7.3000|7.8000,-3.0800|-1.9200|-3.3800|-0.9000|-1.4000,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.25,7.718999999999999,True,-1.9952179042331712,lam=0.05:U=9.785:R=-1.265:q=0.4623|lam=1.046:U=5.943:R=-2.623:q=0.5377,-2.083693732193732,best_feasible_mixture,0.0,0.31622776601683794,0.4692347466390899,,7.696000000000001,0.25309286833097455,-2.136,0.4772169318035561,0.0229999999999988,True,-0.14078209576682887,-0.052306267806268014,"support w=0,0.3162 q_b=0.4692 cal_reward=-2.3925 cal_usage=7.7190",7.6800|7.1200|8.5800|7.3000|7.8000,-3.0800|-1.9200|-3.3800|-0.9000|-1.4000,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.5,9.533999999999999,True,-1.3541110340041638,lam=0.05:U=9.785:R=-1.265:q=0.9346|lam=1.046:U=5.943:R=-2.623:q=0.0654,-1.5329886039886045,mixture,0.13894954943731375,0.31622776601683794,0.9384694932781796,,9.472,0.2031354228095139,-2.1119999999999997,0.6656004807690571,0.06199999999999939,True,-0.7578889659958359,-0.5790113960113952,,9.6600|9.2000|10.1800|9.0600|9.2600,-2.0600|-1.6000|-4.3800|-0.2600|-2.2600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.5,9.533999999999999,True,-1.3541110340041638,lam=0.05:U=9.785:R=-1.265:q=0.9346|lam=1.046:U=5.943:R=-2.623:q=0.0654,-1.5329886039886045,endpoint_lo,0.13894954943731375,0.31622776601683794,,0.13894954943731375,5.9,0.15231546211727823,-2.8600000000000003,0.4275511665286389,3.6339999999999986,True,-1.5058889659958365,-1.3270113960113958,,6.0000|5.6400|6.4200|5.5600|5.8800,-3.8000|-2.2400|-3.0200|-1.5600|-3.6800,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.5,9.533999999999999,True,-1.3541110340041638,lam=0.05:U=9.785:R=-1.265:q=0.9346|lam=1.046:U=5.943:R=-2.623:q=0.0654,-1.5329886039886045,endpoint_hi,0.13894954943731375,0.31622776601683794,,0.31622776601683794,9.696000000000002,0.20624257562394824,-2.216,0.6837952910045519,0.1620000000000026,False,-0.8618889659958364,-0.6830113960113957,,9.9200|9.4000|10.3800|9.2200|9.5600,-1.7200|-1.8000|-4.5800|-0.4200|-2.5600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.5,9.533999999999999,True,-1.3541110340041638,lam=0.05:U=9.785:R=-1.265:q=0.9346|lam=1.046:U=5.943:R=-2.623:q=0.0654,-1.5329886039886045,best_feasible_member,0.13894954943731375,0.31622776601683794,,0.0,5.9,0.15231546211727823,-2.8600000000000003,0.4275511665286389,3.6339999999999986,True,-1.5058889659958365,-1.3270113960113958,,6.0000|5.6400|6.4200|5.5600|5.8800,-3.8000|-2.2400|-3.0200|-1.5600|-3.6800,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.5,9.533999999999999,True,-1.3541110340041638,lam=0.05:U=9.785:R=-1.265:q=0.9346|lam=1.046:U=5.943:R=-2.623:q=0.0654,-1.5329886039886045,best_target_mixture,0.0,0.31622776601683794,0.9384694932781797,,9.472,0.2031354228095139,-2.1119999999999997,0.6656004807690571,0.06199999999999939,True,-0.7578889659958359,-0.5790113960113952,"support w=0,0.3162 q_b=0.9385 cal_reward=-1.5610 cal_usage=9.5340",9.6600|9.2000|10.1800|9.0600|9.2600,-2.0600|-1.6000|-4.3800|-0.2600|-2.2600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
