env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,significant_hb
DIAGNOSIS EXPERIMENT (N=4),Success,Planning+IG,EpistemicOnly,0.993,"[0.991, 0.995]",0.0,"[0.000, 0.000]",0.993,16.84213593512245,842.1067967561224,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,Planning+IG,EFE,0.993,"[0.991, 0.995]",0.9706,"[0.966, 0.975]",0.022399999999999975,0.1681462329162529,8.407311645812646,4.7672558264977225e-17,True
DIAGNOSIS EXPERIMENT (N=4),Success,Planning+IG,Thompson,0.993,"[0.991, 0.995]",0.8854,"[0.877, 0.894]",0.10760000000000003,0.462097330948636,23.104866547431797,4.137722668986949e-115,True
DIAGNOSIS EXPERIMENT (N=4),Success,EpistemicOnly,EFE,0.0,"[0.000, 0.000]",0.9706,"[0.966, 0.975]",-0.9706,-8.124900334291915,-406.2450167145957,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,EpistemicOnly,Thompson,0.0,"[0.000, 0.000]",0.8854,"[0.877, 0.894]",-0.8854,-3.9305109819725264,-196.5255490986263,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,EFE,Thompson,0.9706,"[0.966, 0.975]",0.8854,"[0.877, 0.894]",0.08520000000000005,0.334145287198192,16.707264359909598,7.966449561385461e-62,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Myopic,Planning,2.0,"[2.000, 2.000]",5.9092,"[5.843, 5.976]",-3.9092000000000002,-2.3083115957966567,-115.41557978983285,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Myopic,InfoGain,2.0,"[2.000, 2.000]",2.0,"[2.000, 2.000]",0.0,0.0,,1.0,False
DIAGNOSIS EXPERIMENT (N=4),Observations,Myopic,InfoGain-Tuned,2.0,"[2.000, 2.000]",13.2724,"[13.144, 13.402]",-11.2724,-3.443717819402759,-172.18589097013796,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Myopic,Planning+IG,2.0,"[2.000, 2.000]",13.2128,"[13.084, 13.345]",-11.2128,-3.362437493532275,-168.12187467661374,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Myopic,EpistemicOnly,2.0,"[2.000, 2.000]",200.0,"[200.000, 200.000]",-198.0,0.0,-inf,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Myopic,EFE,2.0,"[2.000, 2.000]",9.7328,"[9.629, 9.838]",-7.732799999999999,-2.895849099389428,-144.79245496947138,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Myopic,Thompson,2.0,"[2.000, 2.000]",5.842,"[5.780, 5.905]",-3.8419999999999996,-2.399923580933064,-119.9961790466532,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Planning,InfoGain,5.9092,"[5.843, 5.976]",2.0,"[2.000, 2.000]",3.9092000000000002,2.3083115957966567,115.41557978983285,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Planning,InfoGain-Tuned,5.9092,"[5.843, 5.976]",13.2724,"[13.144, 13.402]",-7.363199999999999,-1.9978995506056376,-99.89497753028189,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Planning,Planning+IG,5.9092,"[5.843, 5.976]",13.2128,"[13.084, 13.345]",-7.303599999999999,-1.9527760476962215,-97.63880238481109,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Planning,EpistemicOnly,5.9092,"[5.843, 5.976]",200.0,"[200.000, 200.000]",-194.0908,-114.60709205910408,-5730.354602955205,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Planning,EFE,5.9092,"[5.843, 5.976]",9.7328,"[9.629, 9.838]",-3.823599999999999,-1.2092143751006592,-60.460718755032964,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Planning,Thompson,5.9092,"[5.843, 5.976]",5.842,"[5.780, 5.905]",0.06720000000000059,0.02883593882053509,1.4417969410267548,0.1493909873178948,False
DIAGNOSIS EXPERIMENT (N=4),Observations,InfoGain,InfoGain-Tuned,2.0,"[2.000, 2.000]",13.2724,"[13.144, 13.402]",-11.2724,-3.443717819402759,-172.18589097013796,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,InfoGain,Planning+IG,2.0,"[2.000, 2.000]",13.2128,"[13.084, 13.345]",-11.2128,-3.362437493532275,-168.12187467661374,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,InfoGain,EpistemicOnly,2.0,"[2.000, 2.000]",200.0,"[200.000, 200.000]",-198.0,0.0,-inf,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,InfoGain,EFE,2.0,"[2.000, 2.000]",9.7328,"[9.629, 9.838]",-7.732799999999999,-2.895849099389428,-144.79245496947138,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,InfoGain,Thompson,2.0,"[2.000, 2.000]",5.842,"[5.780, 5.905]",-3.8419999999999996,-2.399923580933064,-119.9961790466532,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,InfoGain-Tuned,Planning+IG,13.2724,"[13.144, 13.402]",13.2128,"[13.084, 13.345]",0.05959999999999965,0.012754675704957431,0.6377337852478715,0.5236615933751035,False
DIAGNOSIS EXPERIMENT (N=4),Observations,InfoGain-Tuned,EpistemicOnly,13.2724,"[13.144, 13.402]",200.0,"[200.000, 200.000]",-186.7276,-57.04527549539677,-2852.263774769839,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,InfoGain-Tuned,EFE,13.2724,"[13.144, 13.402]",9.7328,"[9.629, 9.838]",3.5396,0.8379031802796765,41.895159013983815,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,InfoGain-Tuned,Thompson,13.2724,"[13.144, 13.402]",5.842,"[5.780, 5.905]",7.4304,2.0391749457664248,101.95874728832125,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Planning+IG,EpistemicOnly,13.2128,"[13.084, 13.345]",200.0,"[200.000, 200.000]",-186.7872,-56.012796499706745,-2800.639824985337,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Planning+IG,EFE,13.2128,"[13.084, 13.345]",9.7328,"[9.629, 9.838]",3.4800000000000004,0.8145860682461916,40.729303412309584,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,Planning+IG,Thompson,13.2128,"[13.084, 13.345]",5.842,"[5.780, 5.905]",7.3708,1.9926021190702379,99.6301059535119,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,EpistemicOnly,EFE,200.0,"[200.000, 200.000]",9.7328,"[9.629, 9.838]",190.2672,71.25298724438085,3562.649362219042,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,EpistemicOnly,Thompson,200.0,"[200.000, 200.000]",5.842,"[5.780, 5.905]",194.158,121.2817185389906,6064.0859269495295,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Observations,EFE,Thompson,9.7328,"[9.629, 9.838]",5.842,"[5.780, 5.905]",3.8907999999999996,1.2496884732925722,62.4844236646286,0.0,True
